address_street,city,state,county,zip,violation_type,status,date_opened,case_id,parcel,latitude,longitude
2613 E 5TH STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053123 CC,0202110907,30.25694094,-97.71285228
1700 WINDOAK DRIVE,Austin,TX,Travis,78741,Work Without Permit,Active,2026-04-29T00:00:00.000,2026-053451 CC,0305031023,30.23513892,-97.73757036
1310 GARDEN STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053032 CC,0202050415,30.25712725,-97.73171055
421 THOMPSON LANE,Austin,TX,Travis,78742,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053346 CC,0307210524,30.23937836,-97.68283109
12310 RUSTIC MANOR COURT,Austin,TX,Travis,78750,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053163 CC,R066088,30.46067586,-97.80901971
7104 GUADALUPE STREET,Austin,TX,Travis,78752,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053151 CC,0233100418,30.33713027,-97.71513544
300 FERGUSON DRIVE,Austin,TX,Travis,78753,Structure Condition Violation(s),Active,2026-04-29T00:00:00.000,2026-053270 CC,0245210104,30.37632539,-97.68510677
2207 WICKERSHAM LANE Unit 1213,Austin,TX,Travis,78741,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053224 CC,0307110306,30.22899126,-97.72062928
4502 SHERWYN DRIVE,Austin,TX,Travis,78725,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053272 CC,0211280203,30.28099025,-97.66237348
1011 E 10TH STREET,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-04-29T00:00:00.000,2026-052970 CC,0206051104,30.26837806,-97.73045047
1109 S PLEASANT VALLEY ROAD 416,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-29T00:00:00.000,2026-053317 CC,0303090201,30.24136087,-97.71692105
2317 E OLTORF STREET BLDG 21 Unit 2112,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-29T00:00:00.000,2026-053402 CC,0308060106,30.22745335,-97.72857305
1901 WESTLAKE DRIVE,Austin,TX,Travis,78746,Work Without Permit,Active,2026-04-29T00:00:00.000,2026-053183 CC,0117110201,30.29934003,-97.79080651
702 LAMAR PLACE Unit 111,Austin,TX,Travis,78752,Structure Condition Violation(s),Active,2026-04-29T00:00:00.000,2026-053195 CC,0229080705,30.33148997,-97.72164243
13376 N US 183 HWY SERVICE ROAD,Austin,TX,Travis,78750,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052451 CC,0172110403,30.44477335,-97.78908984
833 FAIRFIELD DRIVE,Austin,TX,Travis,78758,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052587 CC,0238150812,30.35644457,-97.70403755
1001 W BRAKER LANE,Austin,TX,Travis,78758,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052430 CC,0248200713,30.38310159,-97.69080535
1910 E STASSNEY LANE,Austin,TX,Travis,78744,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052477 CC,0421021504,30.19577174,-97.75846081
7603 RUSTLING CIRCLE,Austin,TX,Travis,78731,Work Without Permit,Active,2026-04-28T00:00:00.000,2026-052254 CC,0142040623,30.36587983,-97.76450965
2005 WILLOW CREEK DRIVE,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052901 CC,0308060301,30.23205261,-97.72860737
8906 SPARKLING CREEK DRIVE,Austin,TX,Travis,78729,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052894 CC,R073941,30.44846687,-97.77897066
12304 BURR RIDGE DRIVE,Austin,TX,Travis,78729,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052898 CC,R073924,30.44835838,-97.78070677
9003 SPARKLING CREEK DRIVE,Austin,TX,Travis,78729,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052897 CC,R073908,30.447577,-97.78013941
4411 AIRPORT BOULEVARD BLDG 06 Unit 224,Austin,TX,Travis,78722,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052675 CC,0218110101,30.30116917,-97.71337881
1905 E 22ND STREET,Austin,TX,Travis,78722,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052319 CC,0211090804,30.28270222,-97.72127653
1005 E 10TH STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052354 CC,0206051102,30.268483,-97.73074231
6103 MANOR ROAD Unit 142,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052372 CC,0221220334,30.30755468,-97.67805181
1814 MARGARET STREET,Austin,TX,Travis,78704,Work Without Permit,Active,2026-04-28T00:00:00.000,2026-052520 CC,0102051617,30.25798398,-97.76860952
4600 MUELLER BOULEVARD Unit 4066,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052935 CC,0218130118,30.29948141,-97.70804903
6815 LANGSTON DRIVE,Austin,TX,Travis,78723,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052269 CC,0224240612,30.31652808,-97.67110316
2509 QUARRY ROAD,Austin,TX,Travis,78703,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052241 CC,0113060615,30.28739106,-97.77194168
701 WOODWARD STREET BLDG 09 Unit 911,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052670 CC,0410010440,30.2253837,-97.75214159
1500 ROYAL CREST DRIVE Unit 131,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052512 CC,0304070208,30.24089004,-97.73026008
3416 HILLVIEW ROAD,Austin,TX,Travis,78703,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052804 CC,0121050304,30.31157777,-97.76426243
2504 AUDUBON PLACE,Austin,TX,Travis,78741,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052258 CC,0307020414,30.23083558,-97.74101169
6214 BLARWOOD DRIVE,Austin,TX,Travis,78745,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052902 CC,0414190622,30.21430373,-97.8130901
2906 JADEWOOD COURT,Austin,TX,Travis,78748,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052618 CC,0428250471,30.177952,-97.83984978
4411 AIRPORT BOULEVARD BLDG 09 Unit 135,Austin,TX,Travis,78722,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052827 CC,0218110101,30.30116917,-97.71337881
4411 AIRPORT BOULEVARD BLDG 09 Unit 234,Austin,TX,Travis,78722,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052830 CC,0218110101,30.30116917,-97.71337881
1212 TAYLOR STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052778 CC,0202050311,30.25651809,-97.73286433
706 DULWICH STREET,Austin,TX,Travis,78748,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052933 CC,0424000907,30.18083523,-97.79900229
10409 ANTELOPE RUN,Austin,TX,Travis,78748,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052323 CC,0428300120,30.17680313,-97.85220257
8400 BEECH DRIVE,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052415 CC,0239101423,30.35791759,-97.71486928
6030 BLUEBELL CIRCLE,Austin,TX,Travis,78741,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052438 CC,0307150704,30.23045014,-97.70348634
739 W WILLIAM CANNON DRIVE,Austin,TX,Travis,78745,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052839 CC,0419120319,30.1974094,-97.78989537
1101 W 5TH ST,Austin,TX,Travis,78703,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052575 CC,0108010206,30.27096672,-97.75674356
4411 AIRPORT BOULEVARD BLDG 09 Unit 235,Austin,TX,Travis,78722,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052834 CC,0218110101,30.30116917,-97.71337881
12816 HYMEADOW DRIVE,Austin,TX,Travis,78729,Property Abatement,Active,2026-04-28T00:00:00.000,2026-052914 CC,R057053,30.46023792,-97.78947916
4411 AIRPORT BOULEVARD BLDG 07 Unit 128,Austin,TX,Travis,78722,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052684 CC,0218110101,30.30116917,-97.71337881
12001 DESSAU ROAD,Austin,TX,Travis,78754,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052521 CC,0242310110,30.37925879,-97.65326272
1830 W RUNDBERG LN,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052646 CC,0244110401,30.37203604,-97.71477459
2302 ENFIELD RD,Austin,TX,Travis,,Structure Condition Violation(s),Active,2026-04-28T00:00:00.000,2026-052395 CC,,,
11507 SWEETWATER TRAIL,Austin,TX,Travis,78750,Property Abatement,Active,2026-04-27T00:00:00.000,2026-051842 CC,R076817,30.4514145,-97.81835408
5001 CRAINWAY DRIVE Unit 6208,Austin,TX,Travis,78724,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051883 CC,0226210201,30.3190283,-97.65763354
5006 BAKER STREET,Austin,TX,Travis,78721,Property Abatement,Active,2026-04-27T00:00:00.000,2026-051764 CC,0212212001,30.28299199,-97.67887551
311 BOWIE STREET,Austin,TX,Travis,78701,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051694 CC,0107003101,30.26922738,-97.75299723
5218 TAHOE TRAIL,Austin,TX,Travis,78745,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051927 CC,0410131212,30.2246893,-97.80390701
716 EBERHART LN,Austin,TX,Travis,,Property Abatement,Active,2026-04-27T00:00:00.000,2026-052148 CC,,,
Extended Stay America - 12424 RESEARCH BLVD SVRD SB,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051882 CC,0166030405,30.42798425,-97.75800809
500 E 41ST STREET,Austin,TX,Travis,78751,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051575 CC,0220080510,30.30236697,-97.72734353
6806 MESA DRIVE,Austin,TX,Travis,78731,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051726 CC,0139060507,30.35734675,-97.76814304
1400 E RUNDBERG LANE Unit 123,Austin,TX,Travis,78753,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-052149 CC,0237240209,30.35227309,-97.67791491
1803 KEILBAR LN,Austin,TX,Travis,78745,Property Abatement,Active,2026-04-27T00:00:00.000,2026-052064 CC,0422150124,30.19442012,-97.80853041
1706 E OLTORF STREET,Austin,TX,Travis,,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051662 CC,,,
5010 BAKER STREET,Austin,TX,Travis,78721,Property Abatement,Active,2026-04-27T00:00:00.000,2026-052063 CC,0212210971,30.28291019,-97.67853009
7809 TOPAWA COVE,Austin,TX,Travis,78729,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051822 CC,R066423,30.43877091,-97.76778331
4900 E OLTORF STREET 1133,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051677 CC,0310080101,30.22321311,-97.72145383
6108 E RIVERSIDE DRIVE,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051608 CC,0308140802,30.22617665,-97.70538899
7100 N IH 35 SVRD NB,Austin,TX,Travis,,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-052093 CC,,,
2405 MARCUS ABRAMS BOULEVARD,Austin,TX,Travis,78748,Property Abatement,Active,2026-04-27T00:00:00.000,2026-051781 CC,0436253302,30.1531477,-97.84071119
2005 DEXTER STREET,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051566 CC,0103060309,30.25965623,-97.77012387
12400 TREE LINE DRIVE,Austin,TX,Travis,78729,Property Abatement,Active,2026-04-27T00:00:00.000,2026-051548 CC,R074025,30.44775665,-97.77576191
1500 ROYAL CREST DRIVE Unit 109,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-052027 CC,0304070208,30.24089004,-97.73026008
10309 FAYLIN DRIVE,Austin,TX,Travis,78753,Property Abatement,Active,2026-04-27T00:00:00.000,2026-051641 CC,0241260208,30.36282912,-97.66995832
2706 LA MESA DRIVE,Austin,TX,Travis,78704,Property Abatement,Active,2026-04-27T00:00:00.000,2026-051768 CC,0405030204,30.23675644,-97.761036
6103 MANOR ROAD Unit 114,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051817 CC,0221220334,30.30755468,-97.67805181
4821 E RIVERSIDE DRIVE,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051576 CC,0308100301,30.23059966,-97.71831164
2809 RUSTY DRIVE,Austin,TX,Travis,78744,Property Abatement,Active,2026-04-27T00:00:00.000,2026-052037 CC,0314200108,30.21104703,-97.69029018
2933 PECAN SPRINGS ROAD,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-052122 CC,0218200232,30.29940533,-97.68270394
9210 NORTHGATE BLVD,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-052135 CC,0244110102,30.37184787,-97.71620073
500 HARDIN CT,Austin,TX,Travis,78753,Property Abatement,Active,2026-04-27T00:00:00.000,2026-052068 CC,0243210461,30.36852258,-97.68404277
12118 WALNUT PARK CROSSING Unit 1011,Austin,TX,Travis,78753,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-051553 CC,0254230303,30.39295402,-97.67684845
4611 N IH 35 SERVICE ROAD Unit 1315,Austin,TX,Travis,78722,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-052118 CC,0219120202,30.30467246,-97.71280824
8600 N LAMAR BOULEVARD BLDG A UNIT 1208,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-04-27T00:00:00.000,2026-052160 CC,0238150805,30.35465196,-97.70433696
6314 FM 969 ROAD,Austin,TX,Travis,78724,Property Abatement,Active,2026-04-27T00:00:00.000,2026-051865 CC,0213280918,30.28560099,-97.66057892
5209 ROB SCOTT STREET,Austin,TX,Travis,78721,Property Abatement,Active,2026-04-27T00:00:00.000,2026-051699 CC,0212210966,30.28234597,-97.67864385
2112 QUICKSILVER BOULEVARD,Austin,TX,Travis,78744,Property Abatement,Active,2026-04-27T00:00:00.000,2026-052075 CC,0428050202,30.17762491,-97.76844731
1915 E 12TH STREET,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-04-26T00:00:00.000,2026-051422 CC,0208090818,30.27364362,-97.71917045
608 W ST JOHNS AVENUE,Austin,TX,Travis,78752,Property Abatement,Active,2026-04-26T00:00:00.000,2026-051465 CC,0233100711,30.33832498,-97.71505228
1171 HARGRAVE STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-04-26T00:00:00.000,2026-051466 CC,0208120401,30.27320436,-97.70884918
1617 CANTERBURY STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-04-26T00:00:00.000,2026-051437 CC,0202070209,30.2559369,-97.72808343
11909 ALPHEUS AVENUE,Austin,TX,Travis,78759,Property Abatement,Active,2026-04-26T00:00:00.000,2026-051420 CC,0260060221,30.41445994,-97.73015848
2203 LINDELL AVENUE,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-26T00:00:00.000,2026-051477 CC,0403010418,30.24157656,-97.75304552
2409 LEON STREET,Austin,TX,Travis,78705,Structure Condition Violation(s),Active,2026-04-26T00:00:00.000,2026-051485 CC,0214001333,30.28897532,-97.74879302
1919 E 12TH STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-04-26T00:00:00.000,2026-051421 CC,0208090806,30.27373935,-97.71900942
5900 EMERALD FOREST DRIVE,Austin,TX,Travis,78745,Property Abatement,Active,2026-04-26T00:00:00.000,2026-051482 CC,0415120223,30.20820635,-97.78916778
1005 E 38TH HALF STREET,Austin,TX,Travis,78751,Property Abatement,Active,2026-04-26T00:00:00.000,2026-051435 CC,0217090109,30.29552597,-97.72149046
1708 E 32ND STREET,Austin,TX,Travis,78722,Property Abatement,Active,2026-04-26T00:00:00.000,2026-051463 CC,0213110217,30.28662159,-97.71589067
Aloft Austin Northwest - 14020 N US 183 Hwy,Austin,TX,Travis,78613,Work Without Permit,Active,2026-04-26T00:00:00.000,2026-051417 CC,R507779,30.47525168,-97.80198951
1044 CAMINO LA COSTA,Austin,TX,Travis,78752,Structure Condition Violation(s),Active,2026-04-26T00:00:00.000,2026-051413 CC,0227160102,30.32504879,-97.69973484
6304 HYSIDE DRIVE,Austin,TX,Travis,78723,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051337 CC,0221240502,30.30790333,-97.67231742
1620 OHLEN ROAD,Austin,TX,Travis,78758,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051335 CC,0241100913,30.3642467,-97.71570288
6919 CARVER AVENUE,Austin,TX,Travis,78752,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051400 CC,0229150721,30.32872723,-97.70032878
618 THRASHER LANE,Austin,TX,Travis,78741,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051346 CC,0304160715,30.23702429,-97.69443188
2314 WICKERSHAM LANE,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-25T00:00:00.000,2026-051403 CC,0307010101,30.22812089,-97.72218576
1104 W 22ND HALF STREET,Austin,TX,Travis,78705,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051330 CC,0113000411,30.28670525,-97.74996934
12500 SPLIT RAIL PARKWAY,Austin,TX,Travis,78750,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051378 CC,R062203,30.46272129,-97.80525186
8201 BURRELL DRIVE,Austin,TX,Travis,78757,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051373 CC,0238080403,30.35663264,-97.72104726
2501 WICKERSHAM LANE,Austin,TX,Travis,78741,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051404 CC,0310080211,30.22350129,-97.72533837
1501 FAIRFIELD DRIVE,Austin,TX,Travis,78757,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051370 CC,0240080712,30.3602707,-97.71791037
9345 E US 290 HWY SERVICE ROAD,Austin,TX,Travis,78724,Structure Condition Violation(s),Active,2026-04-25T00:00:00.000,2026-051374 CC,0226310901,30.32884413,-97.64198083
12007 BELL AVENUE,Austin,TX,Travis,78727,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051380 CC,0164010201,30.4249728,-97.74857705
303 W 40TH STREET,Austin,TX,Travis,78751,Structure Condition Violation(s),Active,2026-04-25T00:00:00.000,2026-051357 CC,0219050817,30.3039,-97.73403459
411 E 38TH STREET,Austin,TX,Travis,78705,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051407 CC,0217060817,30.29865742,-97.73008391
8712 PINERIDGE DRIVE,Austin,TX,Travis,78729,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051363 CC,R074095,30.45024947,-97.77484657
6402 PONCA ST,Austin,TX,Travis,78741,Property Abatement,Active,2026-04-25T00:00:00.000,2026-051347 CC,0305180150,30.23672869,-97.693968
9001 BUBBLING SPRINGS TRAIL,Austin,TX,Travis,78729,Property Abatement,Active,2026-04-24T00:00:00.000,2026-050682 CC,R073971,30.44950789,-97.77945574
2901 EMPLOYEE AVENUE,Austin,TX,Travis,78719,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051090 CC,0315210923,30.20800386,-97.66503117
1707 W 42ND STREET,Austin,TX,Travis,78756,Property Abatement,Active,2026-04-24T00:00:00.000,2026-051181 CC,0221010408,30.31329245,-97.74722559
5725 N IH 35 SERVICE ROAD,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051744 CC,0225120501,30.31780199,-97.70672633
11615 PARKFIELD DRIVE,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051126 CC,0252161019,30.39025751,-97.69585667
11701 METRIC BOULEVARD Unit 1512,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051317 CC,0254130549,30.39602299,-97.70513789
1104 WILLOW STREET,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051237 CC,0203041015,30.25947362,-97.73348808
7613 JESTER BOULEVARD,Austin,TX,Travis,78750,Property Abatement,Active,2026-04-24T00:00:00.000,2026-051219 CC,0150130207,30.38479904,-97.79836517
8802 PEPPERGRASS COVE,Austin,TX,Travis,78745,Property Abatement,Active,2026-04-24T00:00:00.000,2026-051294 CC,0422250108,30.19344009,-97.83639169
1817 E OLTORF STREET BLDG. 32 UNIT 2115,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051185 CC,0307050404,30.2316152,-97.73645832
6908 HILLCROFT DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-04-24T00:00:00.000,2026-051140 CC,0219331404,30.30166472,-97.64277049
3310 S US 183 HIGHWAY,Austin,TX,Travis,78744,Property Abatement,Active,2026-04-24T00:00:00.000,2026-050978 CC,0318200123,30.20090327,-97.68427931
4303 HANK AVENUE,Austin,TX,Travis,78745,Property Abatement,Active,2026-04-24T00:00:00.000,2026-051244 CC,0408080407,30.22566495,-97.77892788
3506-1/2 ROGGE LANE,Austin,TX,Travis,78723,Property Abatement,Active,2026-04-24T00:00:00.000,2026-051062 CC,0219230408,30.30097421,-97.67359884
7005 STONLEIGH PLACE,Austin,TX,Travis,78744,Property Abatement,Active,2026-04-24T00:00:00.000,2026-051305 CC,0426031002,30.18089661,-97.76208299
1221 ALGARITA AVENUE BLDG. 11 UNIT 357,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051276 CC,0304020541,30.23738859,-97.74150413
6901 FRONTERA TRAIL,Austin,TX,Travis,78741,Property Abatement,Active,2026-04-24T00:00:00.000,2026-051042 CC,0307171117,30.2287472,-97.69316943
2101 E CESAR CHAVEZ STREET,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-050846 CC,0202081418,30.25606832,-97.72197488
2504 NEW YORK DRIVE BLDG. 4 UNIT 214,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051307 CC,0208111612,30.27394359,-97.71338889
71 STRANDTMAN COVE,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051635 CC,0200160434,30.24944458,-97.69441558
3704 SPEEDWAY Unit 109,Austin,TX,Travis,78705,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051281 CC,0218040319,30.30030617,-97.7340775
3223 E 7TH STREET,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051724 CC,0202140303,30.25770552,-97.70493003
7003 STONLEIGH PLACE,Austin,TX,Travis,78744,Property Abatement,Active,2026-04-24T00:00:00.000,2026-051306 CC,0426031003,30.18103246,-97.76200023
3111 E 13TH STREET Unit B,Austin,TX,Travis,78702,Property Abatement,Active,2026-04-24T00:00:00.000,2026-050802 CC,0210151119,30.27722995,-97.70156229
5201 MARTIN AVENUE,Austin,TX,Travis,78751,Property Abatement,Active,2026-04-24T00:00:00.000,2026-051072 CC,0222110401,30.31443751,-97.71704454
3111 PARKER LANE Unit 189,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-24T00:00:00.000,2026-051088 CC,0309030110,30.22365226,-97.74171755
7525 E US 290 HWY EB,Austin,TX,Travis,78723,Property Abatement,Active,2026-04-24T00:00:00.000,2026-050769 CC,0226230610,30.32382979,-97.6751849
8608 DANDELION TRAIL,Austin,TX,Travis,78745,Property Abatement,Active,2026-04-24T00:00:00.000,2026-051290 CC,0422230305,30.19364332,-97.83398027
4411 AIRPORT BOULEVARD BLDG 04,Austin,TX,Travis,78722,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050481 CC,0218110101,30.30116917,-97.71337881
1600 ROYAL CREST DRIVE,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050109 CC,0304070209,30.23958468,-97.73098897
3707 TARRAGONA LANE,Austin,TX,Travis,78727,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050656 CC,0262082208,30.41469503,-97.72101922
2409 TOWN LAKE CIRCLE,Austin,TX,Travis,78741,Property Abatement,Active,2026-04-23T00:00:00.000,2026-050394 CC,0306080101,30.23855989,-97.7232022
701 WOODWARD STREET BLDG 10,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050084 CC,0410010440,30.2253837,-97.75214159
110 ADAM L CHAPA SR STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-04-23T00:00:00.000,2026-052899 CC,0202080506,30.25756775,-97.72348357
802 RED RIVER STREET,Austin,TX,Travis,78701,Property Abatement,Active,2026-04-23T00:00:00.000,2026-050645 CC,0206040806,30.26872582,-97.73661026
701 WOODWARD STREET BLDG 09,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050080 CC,0410010440,30.2253837,-97.75214159
2102 TREDE DRIVE,Austin,TX,Travis,78745,Property Abatement,Active,2026-04-23T00:00:00.000,2026-050219 CC,0419191405,30.19788191,-97.81128
701 WOODWARD STREET BLDG 12,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050139 CC,0410010440,30.2253837,-97.75214159
701 WOODWARD STREET BLDG 05,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050065 CC,0410010440,30.2253837,-97.75214159
4411 AIRPORT BOULEVARD BLDG 09,Austin,TX,Travis,78722,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050506 CC,0218110101,30.30116917,-97.71337881
6919 CARWILL DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-04-23T00:00:00.000,2026-050499 CC,0219331219,30.30160818,-97.64440129
1700 TERI ROAD 406,Austin,TX,Travis,78744,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050547 CC,0416030202,30.20524252,-97.75566255
5402 DARLINGTON LANE,Austin,TX,Travis,78723,Property Abatement,Active,2026-04-23T00:00:00.000,2026-050293 CC,0218200643,30.29985506,-97.68157589
"Woodspring Suites Austin Central - 8110 E US 290 HWY SVRD WB (aka 8103 Cross Park Dr), BLDG 1",Austin,TX,Travis,78754,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050664 CC,0229260705,30.32851748,-97.66583261
4411 AIRPORT BOULEVARD BLDG 01,Austin,TX,Travis,78722,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050465 CC,0218110101,30.30116917,-97.71337881
2608 S 4TH STREET,Austin,TX,Travis,78704,Property Abatement,Active,2026-04-23T00:00:00.000,2026-050603 CC,0404040209,30.24000489,-97.76530174
701 WOODWARD STREET BLDG 08,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050078 CC,0410010440,30.2253837,-97.75214159
104 W 55TH STREET,Austin,TX,Travis,78751,Structure Condition Violation(s),Active,2026-04-23T00:00:00.000,2026-050582 CC,0225090617,30.32066005,-97.72101618
4101 MEDICAL PKWY,Austin,TX,Travis,,Property Abatement,Active,2026-04-23T00:00:00.000,2026-050612 CC,,,
